Octree with 8 children per node - sets;;;;;;;;
;;Slow Closest;Slow Diameter; Fast Closest;Fast Diameter (epsilon = 0.7);;;
Torus_33;Octree;0;0;1;0;;;
33;WSPD;;;6;4;;;
;Task;;;1;0;;;
Nefertiti;Octree;11;11;4;1;;;
299;WSPD;;;35;100;;;
;Task;;;9;26;;;
Bague;Octree;64;47;17;5;;;
2652;WSPD;;;272;1730;;;
;Task;;;84;121;;;
Triceratops;Octree;76;62;12;8;;;
2832;WSPD;;;234;1735;;;
;Task;;;79;116;;;
Horse;Octree;2258;2071;48;21;;;
20000;WSPD;;;2091;18611;;;
;Task;;;237;987;;;
;;;;;;;;
;;;;;;;;
Octree with < 8 children per node (linkedlists) - sets;;Slow Closest;Slow Diameter; Fast Closest;Fast Diameter (epsilon = 0.7);;;
Torus_33;Octree;0;0;1;1;;;
33;WSPD;;;11;12;;;
;Task;;;1;1;;;
Nefertiti;Octree;11;11;5;2;;;
299;WSPD;;;41;92;;;
;Task;;;9;25;;;
Bague;Octree;74;46;15;8;;;
2652;WSPD;;;343;1895;;;
;Task;;;94;121;;;
Triceratops;Octree;79;68;15;12;;;
2832;WSPD;;;321;1429;;;
;Task;;;89;110;;;
Horse;Octree;2025;1666;84;37;;;
20000;WSPD;;;2673;16781;;;
;Task;;;234;843;;;
;;;;;;;;
Octree with < 8 children per node (linkedlists) - lists;;Slow Closest;Slow Diameter; Fast Closest;Fast Diameter (epsilon = 0.7);;;
Torus_33;Octree;0;0;2;0;;;
33;WSPD;;;4;2;;;
;Task;;;1;0;;;
Nefertiti;Octree;12;10;7;2;;;
299;WSPD;;;20;6;;;
;Task;;;9;14;;;
Bague;Octree;62;44;19;12;;;
2652;WSPD;;;164;343;;;
;Task;;;54;48;;;
Triceratops;Octree;77;68;20;16;;;
2832;WSPD;;;143;185;;;
;Task;;;58;83;;;
Horse;Octree;2188;2025;86;58;;;
20000;WSPD;;;677;2507;;;
;Task;;;82;107;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Obtained distances;Slow Closest;Fast Closest;Slow Closest = Fast Closest?;Slow Diameter;Fast Diameter (epsilon = 0.7);Fast Diameter/Slow Diameter;(1-epsilon) approximation ratio?;
Torus_33;0.7200490825;0.7200490825;Yes;3.9764167103;3.8670241017;0.9724896517;Yes;
Nefertiti;0.0843654928;0.0843654928;Yes;5.0581924241;4.6144916029;0.9122807549;Yes;
Bague;0.0158165302;0.0158165302;Yes;4.3515030006;4.1836745934;0.9614320829;Yes;
Triceratops;0.0205384931;0.0205384931;Yes;17.8013969427;13.9247219144;0.7822263589;Yes;
Horse;0.00087;0.00087;Yes;0.2299658708;0.2055723742;0.8939255793;Yes;
;;;;;;;;
Number of pairs in obtained WSPDs;number of points, n;Fast Closest;Fast Closest/n²;Fast Diameter (epsilon = 0.7);Fast Diameter/n²;;;
Torus_33;33;809;0.7428833792;1056;0.9696969697;;;
Nefertiti;299;20027;0.2240131542;55689;0.6229124954;;;
Bague;2652;259534;0.036901772;1123129;0.1596917947;;;
Triceratops;2832;258300;0.032206083;978638;0.1220212802;;;
Horse;20000;2244904;0.00561226;10987479;0.0274686975;;;
;;;;;;;;
;;;;;;;;
Networks by size;Number of vertices;Number of edges;Accumulated time after 15 iterations: Slow FR91 (s) - s = 1;Accumulated time after 15 iterations: Fast FR91 (s) - s = 1;Accumulated time after 15 iterations: Slow FR91 (s) - s = 0.1;Accumulated time after 15 iterations: Fast FR91 (s) - s = 0.1;Accumulated time after 15 iterations: Slow FR91 (s) - s = 0.01;Accumulated time after 15 iterations: Fast FR91 (s) - s = 0.01
siggraph_2005;33;40;0.120183514;0.12124954500000004;0.04470437099999999;0.045904969;0.03526924399999999;0.05755461299999999
karate;34;78;0.041502098;0.170452836;0.040689652;0.052496204;0.050754840999999995;0.089965422
ash85;85;219;0.186747243;0.327119858;0.10182969000000001;0.12143238099999998;0.13817261200000003;0.14016171799999996
santa_fe;118;200;0.26686502;0.47107532899999993;0.12103356800000001;0.11933799599999999;0.12284898500000001;0.099831941
west0497;497;1715;0.765008249;0.6343987509999998;0.583067028;0.28690576100000004;0.813862932;0.247194687
dwt_592;592;2256;0.910370844;0.7777566409999999;0.62191549;0.309235058;0.649902977;0.30638802800000003
qh882;882;1533;2.220177703;1.3552644550000001;1.7405559570000004;0.47161198699999995;1.338157051;0.431177599
facebook;1128;1547;3.6095467169999993;1.4722866709999995;1.8549588959999994;0.367384414;1.868725773;0.38582912099999994
jagmesh7;1138;3156;2.7445698420000006;1.3164444960000001;3.4537324550000004;0.652864165;2.7706574190000004;0.662202424
3elt;4720;13722;24.355798419;2.835436843;26.681537544000005;0.9900007009999999;32.032298925999996;1.2266089089999999
power_grid_4k;4941;6594;27.578238773;3.1689244869999995;32.927056349;1.4610589020000002;30.922507951000007;1.2932213380000002
fe_4elt2;11143;32818;168.822970602;6.121770886;195.819184316;2.412228905;152.76314090900001;2.06042434
barth5;15606;45878;436.701930505;10.346227347000001;419.387754064;3.0265862389999993;436.29286468099997;3.138568165
bcsstk31;35588;572914;1788.4635401280004;40.889549222;2086.240292411;7.908173548;2138.8730381650003;7.126260664999999
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
